,title,director,genre,release_date,company,star_1,star_2,star_3
4416,Ogo-Nla,Ade Ajiboye,Drama,2005,"Juntex,Laditi Treasure Media",Kareem Adepoju,Tolu Ajiboye,Lanre Hassan
4417,Kids Are Angry,Fred Amata,Drama,2001,Liberty Films,Evelyn Amos,Gloria Anozie,Segun Arinze
4418,Kakanfo,Dayo Davies,Drama,2020,"Inufilms,La Telisco Pictures",Muyiwa Adegoke,Abeni Agbon,Ifakolade Ajanaku
4419,Sins of the Heart,Prince Emeka Ani,Drama,2007,Chez International,Chiege Alisigwe,Camilla Mberekpe,Ebube Nwagbo
4420,Men and Ego,Emeka Bishop Nwabunze,Drama,2019,"Rok Studios,Supreme Productions",Bertha Ako,Festus Amadi,Walter Anga
4421,Hannatu,Best Okoduwa,Drama,2018,True Rise Media,Carolcee Ejemurua,Abdul W. Jah,Agnes Obi
4422,Egg of Life 2,Andy Amenechi,Drama,2003,O.J. Production,Padita Agu,Funke Akindele,Gazza Anderson
4423,Sack Letter,Kabat Esosa Egbon,Comedy,2019,"Closer Pictures,Rok Studios",Arogundade Ademilola,Ebenezer Eno,Derby Frankson
4424,Hotel Choco,Edward Uka,Drama,2016,LaBongoz Media,Femi Branch,Dianne Chukwu,Tamara Eteimo
4425,Somewhere Down the Line,Alex Mouth,Comedy,2015,Origin 8 Formats,Dupe Ayeni,Yemi Blaq,Tamara Eteimo
4426,Six Problem Girls,"Kalu Anya,Iwuanyanwu Ckuks",Action,2003,Moving World Movies,Sandra Achums,Nnamdi Eze,Tony Goodman
4427,Years of Tears,Afam Okereke,Drama,2005,"Great Movies Ind. Ltd.,Tony Nwatu Production",Blessing Akpan,Chioma Chukwuka Akpotha,Peace Anidiobi
4428,Sister of Virtue,Dickson Iroegbu,Drama,2012,Atlantic Pictures,Henry Anyanwu,Arinze Bob,Eze Chidi
4429,Jail,Morris Sesay,Drama,2017,Believe Media,Allwell Ademola,Ronke Akinsuroju,Bimbo Akintola
4430,Àgbéké,Abiodun Olanrewaju,Drama,2004,Wisdom Studios International,Enebeli Elebuwa,Adewale Elesho,Yomi Fash-Lanso
4431,Hazeezat,Kabat Esosa Egbon,Drama,2014,Rok Studios,Segun Arinze,Alexx Ekubo,Mike Ezuruonye
4432,Time and Chance,Emem Isong,Drama,2019,"Rok Studios,Royal Arts Academy",Bimbo Ademoye,Babs O. Fatunmbi,Derby Frankson
4433,The Break Out,Uzoh Nnamdi,Drama,2005,Giant Merchants,Akume Akume,Desmond Elliot,Augusta Isaac
4434,Ile itura,Bolaji Amusan,Drama,2007,Toymax Films Holding,Fausat Balogun,Jide Kosoko,
4435,The Faithful,Abiodun Otasanya,Romance,2004,Konia Concept,Rita Dominic,Desmond Elliot,
4436,Ori oko,Saidi Balogun,Drama,2007,Mustoy Films,Saidi Balogun,Bisi Hassan,Rachel Oniga
4437,Ila owo,Segun Ogungbe,Drama,2009,"Odunade Movies Production,Toymax Films Holding",Odunlade Adekola,Kayode Akindina,Bolaji Amusan
4438,Ifedolapo,Wale Ilebiyi,Drama,2015,Tope Osoba Film Productions,Lateef Adedimeji,Omotayo Adefeye,Allwell Ademola
4439,Òréjomí,Kunle Afod,Drama,2005,"Big Way Films,Boye Ventures",Lola Alao,Ayo Badmus,Jide Kosoko
4440,Jagbajantis Reloaded,Biodun Jimoh,Drama,2022,Corporate Pictures,Omolola Abdullah,Tosin Adeniran,Adebayo Adeniyi
4441,Tide,Akinlosotu Femi Depsy,Drama,2021,Golden Mhinutes Pictures,Omobola Akinde,Jasper Aziegbemhin,Kalu Ikeagwu
4442,Kasala!,Ema Edosio,Comedy,2018,Bliss Productions,Mike Afolarin,Gabriel Afolayan,Abayomi Alvin
4443,The Unwanted,Reginald Ebere,Drama,2017,Divine Touch Productions,Ujams Cbriel,Nnaji Charity,Annabel Chioma
4444,What Just Happened,Charles Uwagbai,Comedy,2018,USM Company,Toyin Abraham,Segun Arinze,Funny Bone
4445,Timileyin oluwa,Yomi Fash-Lanso,Drama,2007,Opeyemi Aiyeola Films,Opeyemi Ayeola,,
4446,Kinni Igbeyawo,Tope Adebayo,Drama,2020,"Adekaz Productions,Mercy Aigbe Productions",Aderinoye Adebisi,Mercy Aigbe,Olayinka Bamidele
4447,Feast of Love,Kensteve Anuka,Drama,2018,"Magic Movies Production,Rok Studios",Zulu Adigwe,Adaeze Chiegbu,Tchidi Chikere
4448,Almajiri,Toka McBaror,Action,2022,Corporate World Entertainment,Ayo Makun,Alexx Ekubo,Asabe Madaki
4449,Arike,Ayobami 'Hayorlad' Oladejo,Short,2021,HC Studios,Abuchi Maduakor,Ayobami 'Hayorlad' Oladejo,Maria Gold Oladejo
4450,Iyore,Frank Rajah Arase,Drama,2015,Raj & Heroes Films,Rita Dominic,Joseph Benjamin,Okawa Shaznay
4451,Miss Nigeria,Tarila Thompson,Drama,2004,Ossy Affason Production,Bunmi Aderin,Semiu Adewuri,Ndidi Aguocha
4452,King of Boys,Kemi Adetiba,Crime,2018,Kemi Adetiba Visuals,Sola Sobowale,Remilekun Reminisce Safaru,Adesua Etomi-Wellington
4453,Married Women on Campus 2,Nonso Emekaekwue,Drama,2007,Cosnoris International,Ronnie Bembe,Darlene Benson-Cobham,Monalisa Chinda
4454,Sin of a Woman 2,Chidi Chijioke,Drama,2013,Onye Eze Holding Production,Chiwetalu Agu,Ebere Akosa,Chizzy Alichi
4455,The Teacher,Uche Agbo,Drama,2021,"Rok Studios,Zina Studios",Roxy Antak,Devine Anthony,Prosper Anthony
4456,The Williams,Okey Ifeanyi,Drama,2018,I.C Films Production,Ify Camillus,Vicky Cals Henry,Ruth Kadiri
4457,Keepa,Ike Nnaebue,Drama,2016,"Rok Studios,Uche Jombo studios",Charles Billion,Emeka Darlington,Fred Idehen
4458,Deep Loss 2,Tarila Thompson,Drama,2004,Elonel International Ltd.,Eucharia Anunobi Ekwu,Desmond Elliot,Jim Iyke
4459,The Gift,Princewill Emmanuel Kelly,Drama,2019,"BWC Productions,Blue Pictures",Temidayo Adenibuyan,Frankincense Eche-Ben,Precious Ijeoma
4460,Madam's P.A,Adeolu Daniels,Thriller,2017,Just Distinguished Ent.,Seun Akindele,Moradake Awe,Moyo Lawal
4461,Ifeloju,Yinusa A. Korede,Short,2021,EbonyLife Creative Academy,Mary Agholor,Desmond Bryce,Joel Cicero
4462,Christmas 1000x Better,Temitope Bolade,Short,2020,"David's Christian Centre,Soul TV Africa",Okebechi Abiakwe,Monisola Adejana,Edewor Ajueshi
4463,My Confession,Ikenna Aniekwe,Drama,2008,Ossy Affason Production,Ify Afuba,Ini Edo,Yul Edochie
4464,After Dawn 2,Reginald Ebere,Drama,2005,P. Collins Productions,Zulu Adigwe,Kanayo O. Kanayo,Sam Loco Efe
4465,Blood Apart,Ikenna Aniekwe,Drama,2007,Ossy Affason Production,Chioma Chukwuka Akpotha,Pat Asore,Oge Chukwuka
4466,Fati,Kamal S. Alkali,Drama,2022,Maishadda Global Resources,Adam Abdullahi Adam,Sukairaju Yusuf Ahli,Jamilu Sani Awayman
4467,Women's Cot 3,Dickson Iroegbu,Drama,2005,Great Future Production Company,Bukky Ajayi,Rita Edochie,Chidi Ihesie
4468,Hot Love 2,Sunday Ojiego,Comedy,2003,"Atlantic Pictures,Sounds",Eucharia Anunobi Ekwu,Clarion Chukwura-Abiola,Pa James
4469,Lamba,Ali Gumzak,Drama,2022,Maishadda Global Resources,Bilkisu Abdullahi,Fandi Abdulrahaman,Adam Abdullahi Adam
4470,Turn Table 2,Uzodinma Okpechi,Drama,2004,Ulzee Nigeria Ltd.,Dakore Akande,Liz Benson,Keppy Ekpenyong-Bassey
4471,On a Trip,Jibril Mailafiya,Drama,2016,"Derwin First Shot Initiative,Derwin Productions",Fiona Garba,Ikponmwosa Gold,Ik Ogbonna
4472,A Game of Chess,David Cliq,Short,2022,David Cliq Studios,Chijioke Jerry,McKanaky,Esther Uzodinma
4473,After the Promise,Willie Adah Ajenge,Drama,2005,A.C. Merchandise Productions,Jayke Aernan,Emmanuel Armah,Florence Onuma
4474,Clairvoyance,Teejay Stay,Drama,2019,Rok Studios,Nkechi Blessing,Yul Edochie,Sapphire Ekeng
4475,My Wife,Emeka Madu,Drama,2019,"Oakfil Productions,Rok Studios",Emma Ayalogu,Kenechukwu Ezeh,Frances Nsonwu Ikoroha
4476,My Neighbour,Okey-Zubelu Okoh,Drama,2019,ChinneyLove Eze Production,Tana Adelana,Teco Benson,Kevin Bosco
4477,Thirty,Aniedi Awah Noba,Comedy,2022,One & Two Productions,Bimbo Ademoye,Armstrong Chisom,Victoria Egbuchere
4478,Pretty Angels 2,Simi Opeoluwa,Drama,2005,Andy Best Electronics,Tina Amuziam,Kemy Damosi,Ini Edo
4479,Threshold,Reuben Reng,Drama,2022,Rok Studios,Nwatam Adama,Chisom Agoawuike,Tolulope Asanu
4480,Agaracha the Lioness,Armani J. Armani,Drama,2016,Emmy-Rich Entertainment,Armani J. Armani,Nnaemedo Emmanuel,Lizzy Gold
4481,Where Men Rule,Mykel Ajaere,Drama,2021,"Moor Production,Rok Studios",Emma Ayalogu,Emeka Cletus,Norbert Ezeani
4482,A fight to live 2,Chijioke Okeke Oguno,Drama,2018,AflikTv,Tana Adelana,Ken Erics,Uju Okoli
4483,Complications,Sunkanmi Adebayo,Drama,2019,"Closer Pictures,Rok Studios",Bimbo Ademoye,Obodoakor Emelie,Iyamu Itohan
4484,The Past Came Calling,Ruke Amata,Romance,2012,Ruke Amata Film,Chioma Chukwuka Akpotha,Penelope Bouchôt Humbert,Jason Catlin
4485,The Super Star 2,Emeka Nwabueze,Drama,2008,Prince Justine International,Moses Armstrong,Pete Edochie,Moses Efret
4486,King of Thieves,"Tope Adebayo,Adebayo Tijani",Action,2022,"Anthill Studios,Euphoria 360",Toyin Abraham,Femi Adebayo,Azeez Adebowale
4487,CWO 2: Women of Virtue,Saint Collins,Drama,2006,Mauri Production,Oluchi Duru,Chigozie Ifenatuora,Ify Afuba
4488,Desperate Girl,Akin-Tijani Balogun,Drama,2014,Divine Touch Productions,Tony Chukwuma,Kc Ejelonu,Moyo Lawal
4489,Akoto olokada,Segun Ogungbe,Drama,2009,"Banke Films Productions,Bobby Jay Jay Production",Lanre Abati,Dele Adebisi,Bukky Adeeyo
4490,My Promise,Moses Ebere,Drama,2006,Somaco Ind.,Zulu Adigwe,Chiege Alisigwe,Chidi Ihesie
4491,Not Man Enough 2,Andy Chukwu,Drama,2003,Annex Merchandise Ltd.,Lasa Amoro,Amaka Aneke,Lilian Bach
4492,Olukoti,Wasiu Owoiya,Drama,2022,Smallworld Productions,Odunlade Adekola,Odunlade Adeoye,Yinka Adeoye
4493,Rhythm of Love,Charles Inojie,Drama,2007,"De-Kross Movie Production,Simony Productions",Chiwetalu Agu,Monalisa Chinda,Francis Duru
4494,The Baby Sitters,Ozioma B. Nwughala,Drama,2019,"Triple One Productions,iROKOtv",Ijeoma Grace Agu,Bimbo Akintola,Uzor Arukwe
4495,Gidi Blues,Femi Odugbemi,Romance,2016,Cut24 Productions,Hauwa Allahbura,Jahman Anikulapo,Lepacious Bose
4496,Finding Eden,Sobe Charles Umeh,Drama,2018,WH Productions,Roxy Antak,Esther Audu,Stephen Damian
4497,Oga John,Tolu Ajayi,Short,2019,Up in The Sky Films,Imoikor Joseph,Ade Laoye,
4498,When the Heart Lies,Lancelot Oduwa Imasuen,Drama,2008,Purplepine Production,Enebeli Elebuwa,Desmond Elliot,Omotola Jalade-Ekeinde
4499,The Accident,Uduak-Obong Patrick,Drama,2022,Rok Studios,Paschaline Alex,Chinenye Aniemenam,Vivica Anuforo
4500,Fine Wine,Seyi Babatope,Romance,2021,Nevada Bridge Productions,Baaj Adebule,Ademola Adedoyin,Segun Arinze
4501,Unexpected,Chidi Chijioke,Drama,2022,Posh World Productions,Linda Ahipo,Franca Uwechi Amarachi,Eniola Blessing
4502,Things Men Do,Samuel Azubuike,Drama,2003,Longybest Video Links,Jayke Aernan,Kate Alakpa,Emmanuel Armah
4503,Captain 2,Ikechukwu Onyeka,Drama,2006,Kas-Vid International,Fabian Adibe,Stephen Ahanaonu,Michael Goulain
4504,The Devil Lives Here,Damijo Efe Young,Drama,2016,Rok Studios,Tessy Dickson,Ik Ogbonna,Arinze Okonkwo
4505,Olaide irawo,Tokunbo Awoga,Drama,2007,Grand Father Production,Biola Adebayo,Toyin Adewale,Anu Aigbe
4506,David,Afe Olumowe,Short,2021,Nevada Bridge Productions,Chinwe Ashnwa,Joseph Benjamin,Nsikan Isaac
4507,Guilty or Not Guilty,Billion Obi,Drama,2021,"Befilms,Rok Studios",Oluwafemi Isaac Akinsipe,Afolabi Akinwunmi,Mary Chukwu
4508,Inhibition,Otu Njama,Drama,2019,Njama TV,Rosemary Abazie,Queeneth Agbor,Efe Henry
4509,Dons in Abuja,Andy Amenechi,Thriller,2004,O.J. Production,Colombus Arosanga,Steve Eboh,Pete Edochie
4510,The Dreamer,Sunday Nnajiude,Comedy,2006,Emmalex Associates Ltd.,Eucharia Anunobi Ekwu,Sam Loco Efe,Nkem Owoh
4511,A Trip To South-West Naija,Peter Nosiama,Animation,2017,ChikeTEGAbiakam,Anaele Angel,E. Chris,Emmanuel Eguzoro
4512,My Darling Princess,Ifeanyi Ikpoenyi,Drama,2008,Deraco Productions,Muna Obiekwe,Stephanie Linus,Enebeli Elebuwa
4513,High Stake 2,Andy Chukwu,Drama,2006,"Annex Merchandise Ltd.,Nwafor Anayo Production",Dakore Akande,Andy Chukwu,Ofia Afuluagu Mbaka
4514,Love in Sight,Chris Eneaji Eneng,Drama,2018,"Rok Studios,Mazinni Pictures",Chris Akwarandu,Paschaline Alex,Obasi Charles
4515,Owowunmi,Diran Adedeji,Drama,2010,Sir White Media Network,Diran Adedeji,Kehinde Adeshina,Murphy Afolabi
4516,Kamara's Tree,Desmond Elliot,Drama,2013,Denziot Studios Production,Tess Abubakar Eradiri,Joyce Mhango Chavula,Desmond Elliot
4517,Turning Table,Tissy Nnachi,Drama,2019,Danky Dynasty Productions,Alexx Ekubo,Bryan Emmanuel,Efe Henry
4518,Ete,Muhydeen S. Ayinde,Drama,2021,"Adekaz Productions,Mercy Aigbe Productions",Omotayo Abubakar,Femi Adebayo,Bola Adewale
4519,Ayomi,Muhideen Oladapo,Drama,2015,"Audio Visual First,Oluwasina Productions",Akinyemi Abiodun,Soledayo Adegbite,Adeniji Adeola
4520,See Through Me,Kingsley Ukaegbu,Drama,2013,Ada International,Herbert Dembe,Yvonne Jegede,Ruth Nalubiri
4521,Love Trap,Babatunde Anjola,Drama,2022,Lola Faduri Production,Abiodun Adeleke,Lola Faduri,Adeniyi Johnson
4522,The Novelist,Patience Oghre,Drama,2016,Next Level Cinema,Rychardo Agbor,Precious Aham,Lara Jaiyeoba
4523,Hustlers,Elvis Chuks,Drama,2014,Diamond Groove pictures,Clarion Chukwura-Abiola,Ana Flavia Gavlak,Nse Ikpe-Etim
4524,Love in the Bahamas,Munachhi Mbunabo,Romance,2019,One & Two Film,Ray Emodi,Salma Mumin,Calista Okoronkwo
4525,Forever Within Us,Patience Oghre,Drama,2015,Next Level Cinema,Bisola Aiyeola,Seun Akindele,Blossom Chukwujekwu
4526,In My Country,Frank Rajah Arase,Action,2017,"Heros Production,Raj Films",Sam Dede,Bimbo Manuel,Okawa Shaznay
4527,Strangers in Paradise,Adim Williams,Drama,2005,Contech Films,Caroline Danjuma,Kanayo O. Kanayo,Vitalis Ndubuisi
4528,After Kaduna's Coup,Peter Nosiama,Animation,2017,ChikeTEGAbiakam,Emmanuel Chike Gabriel,Dukeson Nwosu,
4529,For DJ's Sake,Simon Peacemaker,Drama,2018,Royal Arts Academy,Alex Ayalogu,Ekama Etim-Inyang,Chelsea Eze
4530,Mr Akowe,Sophia Clement,Short,2021,Tales Hive Studios,Dorcas Blaise,Kehinde Blaise,Joshua Mfonobong
4531,Country Love,Wapah Ezeigwe,Short,2022,Pink Coffee Productions,Divine Ahiwe,Kelechi Michael,Uzoamaka Onuoha
4532,The Only Hope,Afam Okereke,Drama,2003,Dubem Holdings,Eucharia Anunobi Ekwu,Emeka Enyiocha,Bruno Iwuoha
4533,My Sister My Love 2,Afam Okereke,Drama,2006,"Great Entertainment,Great Future Production Company,Tony Nwatu Production",Clem Ohameze,Ngozi Ezeonu,Desmond Elliot
4534,Conundrum,Austin Nwaolie,Drama,2019,Rok Studios,Seun Akindele,Maka Anyanwu,Fontánne Bassey
4535,Night of Horror,Emmanuel Oppong Boamah,Horror,2010,Global Update Pictures,Kofi Asamoaji,Nana Safoa Asiedu,Edem Bonifacio
4536,The Price,Teco Benson,Drama,1999,Liberty Films,Richard Mofe-Damijo,Eucharia Anunobi Ekwu,Justus Esiri
4537,The Lethal Woman 2,Afam Beid Valucci,Drama,2008,"Bonag Industries Nigeria,R.S. Production",Yemi Blaq,Nonso Diobi,Ngozi Ezeonu
4538,Pepper Soup,Grace Edwin-Okon,Comedy,2016,"Derwin Productions,Pinnacle Medical Services",Lilian Afegbai,Denrele Edun,Bryan Kanyingi
4539,Sweet Money 2,Emeka Hill Umeasor,Action,2006,Chidoo Investment,Osita Iheme,Chinedu Ikedieze,Benedict Johnson
4540,Time's Shadow,Okey Ifeanyi,Drama,2021,"Rok Studios,Ruth Kadiri's Production",Roy Justine Chibuzor,Vincent Emmanuel,Calista Nwajide
4541,Years of Tears 2,Afam Okereke,Drama,2005,"Great Movies Ind. Ltd.,Tony Nwatu Production",Chioma Chukwuka Akpotha,Ngozi Ezeonu,Rich Oganiru
4542,Iman,Tope Adebayo,Drama,2016,"Adekaz Productions,Hephzibah Productions",Femi Adebayo,Wasiu Adedeji,Lateef Adedimeji
4543,The Law Students 2,John Uche,Drama,2006,Prince Justine International,Dakore Akande,Funso Alabi,Laz Ekwueme
4544,My Faithful Friend,Kabat Esosa Egbon,Drama,2003,Okwytex Ventures Ltd.,Padita Agu,Clarion Chukwura-Abiola,Desmond Elliot
4545,The Good Cause,Uduak-Obong Patrick,Drama,2022,Rok Studios,Stan K. Amandi,Adaeze Chiegbu,Chinelo Enemchukwu
4546,Stellar,Ikechukwu Onyeka,Drama,2015,"Believe Media,Closer Pictures",Chioma Chukwuka Akpotha,Michael Bassey,Moyo Lawal
4547,Night Fall,Chris Eneaji Eneng,Drama,2017,Case Digital Entertainment,Ayo Adesanya Hassan,Kunle Coker,Emeka Darlington
4548,Common Game,Willie Adah Ajenge,Drama,2007,"Guniks Investment,Paul Daniels Int'l Ltd.",Stephanie Linus,Ufuoma McDermott,Saint Obi
4549,Dokita Alabere,Oluwole Adedeji,Drama,2006,Alawaye Ventures,Funso Adeolu,Kareem Adepoju,Lola Alao
4550,Undoing Perfect,Victor Okpala,Drama,2021,"African Movie Channel,Dope7 Media",Paschaline Alex,Melvin Oduah,Felix Ugo Omokhodion
4551,Lost Kingdom,Ndubuisi Okoh,Action,1999,Infinity Films,Pete Edochie,Enebeli Elebuwa,Omotola Jalade-Ekeinde
4552,Cajole,Onesoul,Drama,2016,Rok Studios,Segun Arinze,Yemi Blaq,Kunle Coker
4553,Ajibade,Odunlade Adekola,Drama,2021,Odunlade Adekola Films Production,Muyiwa Ademola,Eniola Ajao,Bolaji Amusan
4554,Native Girl,Yul Edochie,Drama,2018,Judy Austin Productions,Chigozie Atuanya,Judy Austin,Ifeanyi Azodo
4555,Back to Africa,Tony Abulu,Drama,1997,"Bonag Industries Nigeria,Tony Abulu Film",Jab Ads,Wole Amele,Ella Asaad
4556,Not So Long a Letter,Chima Igbokwe,Drama,2020,Chima Igbokwe Studios,Tony Goodman,Ezinne Iwuoha,Ivie Okujaye
4557,Unsaid,Zainab Ojoma Obaje,Short,2018,"Disturb Delivery,Softballs Production",Victory Emeh,Ejiro Stephen,
4558,Lifespan - Ivie's quest,Stanlee Ohikhuare,Animation,2011,Mighty Jot Studios,Basketmouth,,
4559,Wani Gari,Yaseen Auwal,Drama,2013,UK Entertainment,Taniwu Akawu,Falalu A. Dorayi,Ladidi Fagge
4560,Esin,Soji Eweade,Drama,2009,"Citizen Entertainment,Soje Eweade Productions",Funso Adeolu,Ayo Badmus,Laide Bakare
4561,Died to Save,Amayo Uzo Philips,Drama,2004,Onye Eze Holding Production,Ngozi Achebe,Pat Attah,Desmond Elliot
4562,Living with Baami,Biodun Stephen,Comedy,2021,"Rok Studios,ShutterSpeed Projects",Orukotan Adejola,Bimbo Ademoye,Olawande Adetula
4563,Love Crime,Ernest Obi,Drama,2004,"Akagod Investments,Andy Iyke Production",Ini Edo,Emeka Ike,Ernest Obi
4564,Burning Bridges,Okechukwu Oku,Comedy,2014,Royal Pictures Production,Ivie Okujaye,Ken Erics,Esther Audu
4565,Nasty Jane,Okey Ifeanyi,Drama,2021,Rok Studios,Josaj Ajali,Bryan Emmanuel,Bridget Emovon
4566,Hooked,Ibiso Nifeipiri,Drama,2015,Bomsyt Productions,Ayobami Arodudu,Felix Benjamin,Charles Chydon
4567,Gallant Babes,Michael Jaja,Drama,2011,Uche Nancy Production,Ani Amatosero,Walter Anga,Sly Arch
4568,Mad Couple 1 & 2,Tchidi Chikere,Drama,2014,Nollywood Film Factory,Richard Amechi,Saint Michael Anike,Tchidi Chikere
4569,Lady of Faith,Taiwo Oduala,Drama,2006,New Dimension Movies,Prince Emeka Ani,Princess Egu,Keppy Ekpenyong-Bassey
4570,Beautiful Faces 2,Kabat Esosa Egbon,Drama,2004,Kas-Vid International,Padita Agu,Ini Edo,Uche Iwuji
4571,Oba irawo,Abiodun Olanrewaju,Drama,2007,Corporate Pictures,Toyin Adegbola,Muyiwa Ademola,Funke Akindele
4572,Upside of Down,Dede Orji,Drama,2018,Care Media Productions,Ruth Agbo,Ugwuoke Frank,Ezekiel Ikeazor
4573,Six Demons,Teco Benson,Horror,2005,TFP Global Network,Nkem Ajike,Tina Amuziam,Nina Bob-Chudey
4574,Faded Lines,Okey Ifeanyi,Drama,2020,Rok Studios,Tana Adelana,Lota Chukwu,Joyce Confidence
4575,My Business,Theodore Anyanji,Comedy,2005,Dozac Global Maxima Investment,Chiwetalu Agu,Osita Iheme,Patience Ozokwor
4576,Rings of Fire,Chika Onu,Drama,2005,Master-Mind Production,Chiwetalu Agu,Eucharia Anunobi Ekwu,Kanayo O. Kanayo
4577,The Price of Love,Sunday Nnajiude,Drama,2003,Zelex Nigeria,Chibuzor Akim,Uchebunjo Angel,Yemi Ayangbola
4578,Odum the God of Justice,Iyke Odife,Drama,2018,Rok Studios,Emeka Ani,Henry Anyanwu,Stanley Ebuka
4579,Shattered,Best Okoduwa,Drama,2021,Fame Studios,Rachel Anthony,Elvis Duke,Mike Ezuruonye
4580,Two Steps,Emmanuel Eyaba,Drama,2022,Rok Studios,Mary Chukwu,Mofe Duncan,Judith Enweani
4581,Fight for Peace,Caz Chidiebere,Comedy,2015,Great Star Production,Sapphire Adaobi,Sam Ajah,Funke Akindele
4582,Ojuju Calabar,Ekenna Udo Igwe,Drama,2015,Coruma International,Jerry Amilo,Nelo Atuana,Grace-Charis Bassey
4583,La Street,Ifeanyi Akanaga,Drama,2020,23 Entertainment,Somadina Adinma,Gloria Asibude,Promise Charles
4584,Not a Slave,Urenna Amadi,Drama,2021,Afriwood,Cecilia Azuwuike,Amadi Chris,Florence Chukwu
4585,Seeking Solace,Charles Uwagbai,Drama,2022,"Creative Unit Studios,Rok Studios",Elsie Chidera Abang,Amanda Ebeye,Mallentino Etafo
4586,Yes I do,Chima Okoroji,Drama,2021,AflikTv,Queeneth Agbor,Friday O. Akpobome,Jennifer Chineke
4587,Out of Love,Tunde Alabi,Comedy,2021,"Moor Production,Rok Studios",Emmanuel Blaq,Emeka Cletus,Rita Igwe
4588,The Scorpion 2,Tchidi Chikere,Drama,2005,Emmalex Associates Ltd.,Dakore Akande,Pete Eneh,Benita Nzeribe
4589,Ishola oba-orin 2,Adebayo Salami,Drama,2005,"Philip Trimnel,U- Bee Media Network",Deji Aderemi,Washu Alabi,Opeyemi Ayeola
4590,Mr & Mrs Onoja,Chibuike Ibe,Drama,2015,Reality Motion Pictures,Udochukwu Ajoku,Obiageli Anaene,Grace-Charis Bassey
4591,Dangerous Mind,Chika Onu,Drama,2004,Chez International,Fabian Adibe,Pete Edochie,Rita Edochie
4592,Who's the Boss,Chinaza Onuzo,Comedy,2020,"InkBlot Productions,Accelerate TV",Funke Akindele,Blossom Chukwujekwu,Sharon Ooja
4593,Blind Surge,Okey Ifeanyi,Drama,2019,Ify-Pet Movies,Vikey Cals,Uche Ebere,Lilian Esoro
4594,Two in Love 2,Iwuanyanwu Ckuks,Drama,2004,Pakas Movies Industries,Abigail Ani,Obey Etok,Jim Iyke
4595,April,Chidi Anyanwu Chidox,Drama,2022,"Divine Touch Productions,Rok Studios",Franca Brown,Fari Elysian,Awuzie Ernest
4596,Girls in the Hood 2,Fred Amata,Drama,2005,Reemmy Jes Production (RJP),Desmond Elliot,Ngozi Ezeonu,Kate Henshaw-Nuttal
4597,Ikogosi,Toka McBaror,Drama,2015,Plus 66 Studios,Kunle Adetoba,Didi Ekanem,Chelsea Eze
4598,Black Mamba,Jeta Amata,Action,2002,Christian Dior Production,Fred Amata,Jeta Amata,Segun Arinze
4599,Light Out 2,Nonso Ekene Okonkwo,Drama,2006,Sunec Movies,Cres Adibe,Ify Afuba,Gentle Jack
4600,The CEO and I,Sobe Charles Umeh,Drama,2020,"Rok Studios,WH Productions",Ahmed Afolabi,Anne Annex,Uzor Arukwe
4601,Cry Like Rivers,Tchidi Chikere,Drama,2004,P. Collins Productions,Clarion Chukwura-Abiola,Stella Damasus,Jim Iyke
4602,Obodo,Uzodinma Okpechi,Short,2006,Now Muzik,Klint da Drunk,Mr. Raw,
4603,Chimezie,Goodnews Erico Isika,Drama,2020,Rok Studios,Adaeze Chiegbu,Chimkasinma King David,Chinelo Enemchukwu
4604,Stranger in My Bed,Chris Eneaji Eneng,Drama,2017,Royal Arts Academy,Seun Akindele,Jide Kosoko,Moyo Lawal
4605,Glass Slippers,Ikechukwu Onyeka,Drama,2016,Royal Arts Academy,Tana Adelana,James Adumere,Joan Agabi
4606,Nze Secret,Michael Jaja,Drama,2023,Rok Studios,Duke Emmanuel,Mary Igwe,Ugo Doris Igwe
4607,Ordinary People,Niyi Akinmolayan,Drama,2014,Denziot Studios Production,Joy Abah,Alex Ayalogu,Juliet Davies Bassey
4608,Cold Dish,Hollie Saint Edge,Drama,2019,"Mountain Top Entertainment,YCarteno Novelties",Tracy Idonije Adebo,Evelyn Bada,Ujams Cbriel
4609,Birthmark,Moses Inwang,Drama,2015,Rok Studios,David Uzoma Aboy,Busola Ademolu,Kate Adepegba
4610,Over the Fence,Belinda Agedah Yanga,Comedy,2018,"House 5 Production,Rok Studios",Renne Adeleye,Bimbo Ademoye,Ijeoma Grace Agu
4611,Hourglass,Onesoul,Drama,2016,Rok Studios,Olayinka Milez Abiodun,Alex Adepoyi,Jide Kosoko
4612,Days of Bondage 2,Michael Jaja,Drama,2005,Okwytex Ventures Ltd.,Clarion Chukwura-Abiola,Stephanie Linus,Muna Obiekwe
4613,Kootu olohun,Muyiwa Ademola,Drama,2007,Epsalum,Muyiwa Ademola,Dele Odule,Tubosun Odunsi
4614,The Culprit,Saheed Apanpa,Thriller,2019,Rich Productions,Chris Akwarandu,Lucy Ameh,Frankincense Eche-Ben
4615,The Family,Judith Audu,Drama,2019,iROKOtv,Paul Adams,Oruaro Dave Adia,Judith Audu
4616,Yahoo Millionaire 2,Lancelot Oduwa Imasuen,Drama,2007,Okija-Amaka Pictures,Desmond Elliot,Rita Dominic,Uche Jombo
4617,A Soldier's Story,Frankie Ogar,War,2015,Frankie Ogar Films,Baaj Adebule,Chukwuma Aligwekwe,Zainab Balogun
